window_start,window_end,base_currency,symbol,rate_open,rate_close,rate_min,rate_max,rate_avg,pct_change,samples
2025-09-21 13:00:00+00,2025-09-21 13:03:00+00,USD,CAD,1.3777201905,1.3777201905,1.3777201905,1.3777201905,1.377720,0.0000,1
2025-09-21 13:00:00+00,2025-09-21 13:03:00+00,USD,EUR,0.8509201645,0.8509201645,0.8509201645,0.8509201645,0.850920,0.0000,1
2025-09-21 13:00:00+00,2025-09-21 13:03:00+00,USD,USD,1,1,1,1,1.000000,0.0000,1
2025-09-21 12:57:00+00,2025-09-21 13:00:00+00,USD,CAD,1.3777201905,1.3777201905,1.3777201905,1.3777201905,1.377720,0.0000,3
2025-09-21 12:57:00+00,2025-09-21 13:00:00+00,USD,EUR,0.8509201645,0.8509201645,0.8509201645,0.8509201645,0.850920,0.0000,3
2025-09-21 12:57:00+00,2025-09-21 13:00:00+00,USD,USD,1,1,1,1,1.000000,0.0000,3
2025-09-21 12:54:00+00,2025-09-21 12:57:00+00,USD,CAD,1.3777201905,1.3777201905,1.3777201905,1.3777201905,1.377720,0.0000,3
2025-09-21 12:54:00+00,2025-09-21 12:57:00+00,USD,EUR,0.8509201645,0.8509201645,0.8509201645,0.8509201645,0.850920,0.0000,3
2025-09-21 12:54:00+00,2025-09-21 12:57:00+00,USD,USD,1,1,1,1,1.000000,0.0000,3
2025-09-21 12:51:00+00,2025-09-21 12:54:00+00,USD,CAD,1.3777201905,1.3777201905,1.3777201905,1.3777201905,1.377720,0.0000,3
2025-09-21 12:51:00+00,2025-09-21 12:54:00+00,USD,EUR,0.8509201645,0.8509201645,0.8509201645,0.8509201645,0.850920,0.0000,3
2025-09-21 12:51:00+00,2025-09-21 12:54:00+00,USD,USD,1,1,1,1,1.000000,0.0000,3
2025-09-21 12:48:00+00,2025-09-21 12:51:00+00,USD,CAD,1.3777201905,1.3777201905,1.3777201905,1.3777201905,1.377720,0.0000,3
2025-09-21 12:48:00+00,2025-09-21 12:51:00+00,USD,EUR,0.8509201645,0.8509201645,0.8509201645,0.8509201645,0.850920,0.0000,3
2025-09-21 12:48:00+00,2025-09-21 12:51:00+00,USD,USD,1,1,1,1,1.000000,0.0000,3
2025-09-21 12:45:00+00,2025-09-21 12:48:00+00,USD,CAD,1.3777201905,1.3777201905,1.3777201905,1.3777201905,1.377720,0.0000,3
2025-09-21 12:45:00+00,2025-09-21 12:48:00+00,USD,EUR,0.8509201645,0.8509201645,0.8509201645,0.8509201645,0.850920,0.0000,3
2025-09-21 12:45:00+00,2025-09-21 12:48:00+00,USD,USD,1,1,1,1,1.000000,0.0000,3
2025-09-21 12:42:00+00,2025-09-21 12:45:00+00,USD,CAD,1.3777201905,1.3777201905,1.3777201905,1.3777201905,1.377720,0.0000,3
2025-09-21 12:42:00+00,2025-09-21 12:45:00+00,USD,EUR,0.8509201645,0.8509201645,0.8509201645,0.8509201645,0.850920,0.0000,3
2025-09-21 12:42:00+00,2025-09-21 12:45:00+00,USD,USD,1,1,1,1,1.000000,0.0000,3
2025-09-21 12:39:00+00,2025-09-21 12:42:00+00,USD,CAD,1.3777201905,1.3777201905,1.3777201905,1.3777201905,1.377720,0.0000,3
2025-09-21 12:39:00+00,2025-09-21 12:42:00+00,USD,EUR,0.8509201645,0.8509201645,0.8509201645,0.8509201645,0.850920,0.0000,3
2025-09-21 12:39:00+00,2025-09-21 12:42:00+00,USD,USD,1,1,1,1,1.000000,0.0000,3
2025-09-21 12:36:00+00,2025-09-21 12:39:00+00,USD,CAD,1.3777201905,1.3777201905,1.3777201905,1.3777201905,1.377720,0.0000,3
2025-09-21 12:36:00+00,2025-09-21 12:39:00+00,USD,EUR,0.8509201645,0.8509201645,0.8509201645,0.8509201645,0.850920,0.0000,3
2025-09-21 12:36:00+00,2025-09-21 12:39:00+00,USD,USD,1,1,1,1,1.000000,0.0000,3
2025-09-21 12:33:00+00,2025-09-21 12:36:00+00,USD,CAD,1.3777201905,1.3777201905,1.3777201905,1.3777201905,1.377720,0.0000,3
2025-09-21 12:33:00+00,2025-09-21 12:36:00+00,USD,EUR,0.8509201645,0.8509201645,0.8509201645,0.8509201645,0.850920,0.0000,3
2025-09-21 12:33:00+00,2025-09-21 12:36:00+00,USD,USD,1,1,1,1,1.000000,0.0000,3
2025-09-21 12:30:00+00,2025-09-21 12:33:00+00,USD,CAD,1.3777201905,1.3777201905,1.3777201905,1.3777201905,1.377720,0.0000,3
2025-09-21 12:30:00+00,2025-09-21 12:33:00+00,USD,EUR,0.8509201645,0.8509201645,0.8509201645,0.8509201645,0.850920,0.0000,3
2025-09-21 12:30:00+00,2025-09-21 12:33:00+00,USD,USD,1,1,1,1,1.000000,0.0000,3
2025-09-21 12:27:00+00,2025-09-21 12:30:00+00,USD,CAD,1.3777201905,1.3777201905,1.3777201905,1.3777201905,1.377720,0.0000,2
2025-09-21 12:27:00+00,2025-09-21 12:30:00+00,USD,EUR,0.8509201645,0.8509201645,0.8509201645,0.8509201645,0.850920,0.0000,2
2025-09-21 12:27:00+00,2025-09-21 12:30:00+00,USD,USD,1,1,1,1,1.000000,0.0000,2
2025-09-21 12:24:00+00,2025-09-21 12:27:00+00,USD,CAD,1.3777201905,1.3777201905,1.3777201905,1.3777201905,1.377720,0.0000,3
